,year,home_elo,away_elo,home_sp_plus,home_second_order_w,home_sos,home_special_teams_rating,home_d_r_explosivenenss,home_d_r_success,home_d_havoc_db,home_d_havoc_f7,home_d_havoc_total,home_d_standardDowns,home_d_passing,home_d_rushing,home_d_passingDowns,home_d_ranking,home_o_r_explosiveness,home_o_r_success,home_o_standardDowns,home_o_passing,home_o_rushing,home_o_runrate,home_o_pace,home_o_passingDowns,home_o_ranking,away_sp_plus,away_second_order_w,away_sos,away_special_teams_rating,away_d_r_explosivenenss,away_d_r_success,away_d_havoc_db,away_d_havoc_f7,away_d_havoc_total,away_d_standardDowns,away_d_passing,away_d_rushing,away_d_passingDowns,away_d_ranking,away_o_r_explosiveness,away_o_r_success,away_o_standardDowns,away_o_passing,away_o_rushing,away_o_runrate,away_o_pace,away_o_passingDowns,away_o_ranking,home_talent,away_talent,drives,d_explosiveness,d_successrate,d_stuffrate,d_totalPPA,o_explosiveness,o_successrate,o_stuffrate,o_totalPPA,spread,home_team_cover_spread,home_conference,away_conference,neutral_site
0,2015,1626,1321,-15.5,1.0,0.925,1.8,92.7,90.3,0.0559999999999999,0.075,0.134,92.7,90.4,91.3,88.9,104.0,82.0,79.8,77.8,83.9,70.6,0.456,1.7,88.8,124.0,-16.6,4.1,0.96,-1.9,110.9,83.0,0.067,0.085,0.152,92.5,94.3,88.5,93.5,110.0,86.9,93.8,94.2,91.1,86.0,0.396,2.4,82.9,107.0,639.06,520.69,12.0,1.3976425843563314,0.3623188405797101,0.2333333333333333,15.894630161887902,1.3654775623235085,0.40625,0.4666666666666667,4.270421867419144,-17.0,0,1,4,0
1,2015,1646,1477,3.4,4.1,0.82,0.8,105.5,87.6,0.039,0.099,0.138,96.5,96.0,92.7,93.6,72.0,112.2,96.3,97.5,104.8,101.3,0.519,1.4,110.4,53.0,20.0,11.7,0.875,2.0,117.0,91.0,0.066,0.073,0.139,98.6,107.5,92.8,106.0,51.0,112.5,117.4,114.8,110.8,120.2,0.515,-2.7,111.2,7.0,747.88,798.29,10.0,1.1156372835093082,0.4615384615384615,0.1428571428571428,7.968428434411583,1.130577825762013,0.4266666666666667,0.1702127659574468,9.157397121020477,-3.5,1,9,0,1
2,2015,1417,1567,-3.1,7.2,0.935,-2.3,102.7,98.6,0.064,0.077,0.14,97.8,100.2,99.5,104.2,61.0,101.3,98.8,99.4,103.2,87.2,0.417,4.3,100.6,82.0,9.9,8.0,0.851,1.1,101.8,103.2,0.054,0.1009999999999999,0.155,103.6,102.2,102.4,100.3,73.0,108.9,102.4,97.3,111.1,88.1,0.425,-0.5,119.2,23.0,268.89,613.69,12.0,1.2346682639325082,0.4264705882352941,0.1818181818181818,18.60824707109277,1.0228963757081324,0.4166666666666667,0.3333333333333333,8.286312363523937,20.5,1,6,2,0
3,2015,1365,1521,-1.6,4.1,0.842,-0.1,98.3,112.2,0.085,0.104,0.1889999999999999,108.5,110.0,102.2,101.2,16.0,87.0,88.1,89.6,84.5,91.9,0.5479999999999999,1.1,84.5,119.0,10.8,11.3,0.943,0.5,98.4,103.9,0.07,0.098,0.1689999999999999,102.8,100.3,103.5,99.4,80.0,111.8,125.8,119.7,121.7,110.0,0.39,1.1,116.0,17.0,609.82,524.97,13.0,1.001897832802073,0.3962264150943396,0.3809523809523809,4.754121853062472,1.0418762353053532,0.3974358974358974,0.2926829268292683,-3.6851312431617935,-17.5,0,9,4,0
4,2015,1603,1553,11.0,7.0,0.858,2.0,109.1,109.2,0.072,0.139,0.215,112.2,106.0,117.1,104.6,19.0,85.7,100.0,96.6,91.9,97.5,0.584,1.4,84.7,66.0,19.7,10.5,0.87,0.8,97.3,119.6,0.088,0.105,0.193,110.9,110.9,107.5,103.9,10.0,101.7,110.3,102.1,111.7,99.4,0.481,3.7,115.1,34.0,707.72,832.6,11.0,1.1630959459753274,0.4520547945205479,0.2413793103448276,-1.1847957079055191,1.0855314928614577,0.3943661971830985,0.25,7.254695565252793,-3.0,1,8,3,0
5,2015,1633,1963,8.1,6.2,0.853,2.4,117.3,99.5,0.063,0.096,0.159,105.6,110.2,99.6,107.1,35.0,96.2,104.8,102.5,104.0,95.8,0.502,1.3,94.0,71.0,19.0,10.5,0.875,-0.1,99.3,116.4,0.077,0.08,0.159,111.5,104.1,110.5,96.8,32.0,103.8,107.3,104.9,109.0,100.5,0.471,-2.1,105.7,15.0,653.25,698.52,14.0,0.9548919364653908,0.5,0.119047619047619,14.582142471279871,0.922300415031336,0.4054054054054054,0.1351351351351351,8.55716981108355,16.0,1,3,2,0
6,2015,1311,1572,-14.0,3.9,0.938,-1.8,95.6,95.7,0.061,0.109,0.17,97.3,91.4,103.0,94.3,97.0,95.4,77.1,82.0,82.9,84.7,0.477,1.1,92.6,108.0,3.4,6.1,0.907,-2.0,102.1,98.5,0.0819999999999999,0.07,0.154,101.8,93.3,106.3,95.2,31.0,90.6,98.0,91.2,90.1,99.0,0.4679999999999999,-2.9,102.7,75.0,463.02,605.57,14.0,1.0615624069202196,0.4787234042553192,0.1458333333333333,18.984843721864845,1.4273958846177537,0.2615384615384615,0.2631578947368421,-4.501263290952904,13.5,0,1,0,0
7,2015,1649,1294,4.7,6.6,0.883,-1.7,97.4,95.0,0.07,0.053,0.125,99.2,93.0,97.6,87.2,87.0,114.2,97.5,98.7,103.3,104.0,0.462,-4.2,118.2,21.0,-17.7,4.8,0.952,-0.3,103.7,93.7,0.069,0.064,0.133,100.8,92.4,105.8,90.4,111.0,88.9,90.2,92.5,85.9,94.5,0.531,-2.1,88.3,113.0,567.61,508.77,14.0,1.0532689792289192,0.4479166666666667,0.1836734693877551,17.896088296944125,1.503329821854197,0.3835616438356164,0.1944444444444444,14.262595531444491,-30.5,0,8,4,0
8,2015,1347,1357,-16.3,3.5,0.906,2.2,110.1,89.5,0.052,0.078,0.13,95.7,94.7,97.3,105.9,107.0,89.0,84.3,85.4,85.4,87.8,0.488,-2.8,94.4,123.0,-4.0,4.5,0.87,-1.3,101.0,98.8,0.076,0.076,0.155,99.1,101.1,97.2,100.5,71.0,87.1,95.9,96.6,90.7,94.3,0.49,-1.0,85.6,88.0,397.43,640.85,12.28125,1.2724950504952857,0.4658091826825412,0.1652395047990365,18.88649522228044,1.3020335318090244,0.426755584316179,0.1898854836957228,13.513453829487744,-2.5,1,7,8,0
9,2015,1092,1500,-6.7,7.9,0.953,-2.7,115.6,98.0,0.078,0.077,0.155,100.1,101.6,109.3,119.7,88.0,105.2,96.7,96.0,105.6,82.8,0.401,1.4,106.6,72.0,-21.7,2.6,0.97,-1.7,91.3,100.4,0.053,0.1169999999999999,0.172,95.2,98.1,93.4,101.6,88.0,83.7,80.0,85.7,80.7,84.4,0.532,-4.2,74.2,126.0,413.91,462.67,14.0,1.0727263425266491,0.3953488372093023,0.2083333333333333,6.276451731855269,1.424005888507374,0.3382352941176471,0.2916666666666667,1.886757015184932,-4.0,0,10,4,0
10,2015,1147,1874,-17.5,2.8,0.896,-2.6,88.9,87.9,0.045,0.077,0.122,86.8,85.0,86.5,96.1,126.0,101.8,94.8,95.2,97.4,99.8,0.536,0.2,102.7,74.0,19.5,10.7,0.878,-1.5,108.1,108.4,0.075,0.098,0.174,109.6,106.2,109.7,104.1,44.0,105.2,114.9,112.2,115.4,110.5,0.618,-7.0,107.5,3.0,576.03,660.65,12.0,1.8590943554025217,0.5362318840579711,0.1666666666666666,47.67897483534554,1.2374233608173018,0.3974358974358974,0.2549019607843137,8.073649187862907,20.0,0,1,2,0
11,2015,1444,1850,4.9,7.3,0.903,0.4,88.1,103.6,0.089,0.09,0.182,95.2,100.9,92.8,101.7,95.0,111.0,107.8,105.6,111.5,106.5,0.5,3.5,115.9,26.0,15.6,9.7,0.832,0.4,105.2,108.7,0.065,0.122,0.187,111.5,105.6,112.9,99.0,25.0,93.7,105.3,95.8,105.9,95.6,0.539,2.5,108.3,30.0,396.47,677.07,12.0,1.3377241481901083,0.484375,0.1176470588235294,21.52178868510875,1.2430246953011783,0.3823529411764705,0.1875,7.770196567589246,23.5,1,6,3,0
12,2015,1716,1625,11.8,9.6,0.953,-0.2,82.9,129.1,0.095,0.118,0.215,108.1,99.8,118.5,98.9,22.0,100.8,105.9,105.0,100.7,104.3,0.442,-1.6,96.4,49.0,9.7,7.6,0.863,0.4,112.4,111.5,0.069,0.111,0.18,110.0,107.7,116.8,110.3,27.0,100.7,101.3,99.6,97.2,103.7,0.4639999999999999,1.7,101.7,60.0,557.69,789.51,13.0,1.282678911052561,0.2542372881355932,0.2857142857142857,-8.69096084475038,1.0104058547948052,0.382716049382716,0.16,-2.5855794498058176,-11.0,0,7,8,0
13,2015,1856,1312,16.8,9.0,0.857,-1.1,99.6,117.3,0.066,0.088,0.156,112.0,103.2,115.6,97.4,2.0,102.3,106.7,106.2,105.7,104.6,0.5529999999999999,2.0,99.6,67.0,-14.7,2.8,0.914,-0.2,97.3,101.5,0.038,0.0969999999999999,0.135,102.8,91.4,105.9,92.9,100.0,94.9,76.4,86.2,83.4,79.3,0.409,0.1,81.2,116.0,1001.79,312.31,12.0,1.2583041751544797,0.3392857142857143,0.217391304347826,6.650777162704664,1.3897599646670842,0.5576923076923077,0.1351351351351351,27.42651722690585,-31.0,1,9,10,0
14,2015,1482,1747,0.2,7.0,0.851,-1.5,108.6,114.2,0.069,0.1159999999999999,0.187,107.6,114.1,110.6,114.6,7.0,94.3,83.5,88.5,85.5,93.0,0.617,-2.0,87.3,120.0,22.8,11.0,0.851,2.8,102.8,105.3,0.053,0.107,0.16,103.5,106.9,101.8,108.2,45.0,102.7,118.3,111.7,118.8,110.3,0.601,4.7,109.5,5.0,648.79,745.3,11.0,0.8723083761243378,0.3968253968253968,0.2608695652173913,-5.927122087318066,1.272495409353982,0.3048780487804878,0.2777777777777778,3.0147626411743005,10.0,1,3,8,0
15,2015,1027,1295,-19.7,2.1,0.944,0.1,92.7,81.3,0.042,0.086,0.128,85.7,95.6,78.5,88.5,127.0,102.6,95.6,99.1,92.7,103.2,0.486,-1.1,100.1,89.0,-14.8,4.4,0.952,0.2,102.8,89.5,0.05,0.091,0.144,95.5,95.8,92.2,97.0,114.0,107.9,85.7,97.2,92.3,95.1,0.45,-0.1,89.2,104.0,340.6,409.31,13.0,1.3552845291427502,0.4459459459459459,0.1794871794871795,17.727902688355986,1.0394036439757548,0.5058823529411764,0.1777777777777777,16.803371211627375,-7.0,0,6,4,0
16,2015,1285,1311,-8.5,4.8,0.915,0.4,93.4,88.2,0.047,0.1009999999999999,0.148,90.8,91.7,88.1,90.7,124.0,100.6,98.5,101.1,102.8,93.7,0.505,-5.2,96.2,48.0,-9.8,4.7,0.945,0.7,102.6,98.5,0.07,0.09,0.16,101.5,99.7,95.2,93.7,75.0,93.4,94.2,93.4,95.6,92.2,0.532,-1.9,96.2,114.0,470.49,553.28,18.0,1.1211138145542117,0.4646464646464646,0.2203389830508474,28.19343798379278,1.387458586308952,0.4827586206896552,0.1458333333333333,33.42761113947886,-21.0,0,1,4,0
